AccountID,ClientID,Name,AccountType,CurrentBalance,StartDate,EndDate,Password
AD9413090105NCMC3VM1EDKD,1,Cardguard,1,0,22-11-2021,21-08-2022,AHIMGGAOkpo73zRml6mI
CY9215826814N5WF0EAUVLRJNYEP,2,Wrapsafe,4,0,01-09-2021,NONE,HKsbuz0x818qw52YmZI3
IS467634787117169699889043,3,Hatity,4,0,28-06-2021,17-11-2021,uF4DGAb7cB6fg30i7rrt
CY12037553938HANCACNARCJXUQ2,4,Span,3,0,15-07-2021,NONE,t9Fci5AZCyWkX45gfQuH
PT07106690676316508649610,4,Wrapsafe,1,0,21-10-2021,NONE,UgGj86O4FBIHvO131y6m
FR45266161274652TMVIVPQ5L01,5,Bitwolf,1,0,03-08-2021,30-03-2022,E0V0Or1oFGldbh24FNSb
LT696654847411372478,6,Bitchip,1,0,16-06-2021,NONE,tP5489h517q6U8ne2zI7
SI97275105530910376,7,Lotstring,3,0,05-08-2021,NONE,u46Ts48r44gLaOm8Tx27
ES3876567973341776820457,8,Rank,1,0,10-05-2022,NONE,s37kZAVbJ56CUWmF5aWr
PT29499781625205195427425,9,Zontrax,3,0,12-07-2021,NONE,O5bWYmpwi46LjrCabX1B
SM79Q3694121719TOU8ASQA0WSB,9,Kanlam,3,0,26-09-2021,NONE,6QYb6doh9XPmxDO4Wj3W
AE953455736311284747558,10,Transcof,3,0,18-01-2022,NONE,4EV02Ae7Ui569SHETJd2
FR1502944963172WZYK2TOUP756,11,Greenlam,1,0,26-02-2022,NONE,6kaKy7veOCd4Z9lKfL9V
FR219161520100MAECISS28QI76,11,Tin,3,0,09-02-2022,27-11-2022,O56IFu6GV6q2TzC1X6JM
FI2219198455116224,11,It,1,0,25-02-2021,NONE,VZSblN7T0E8E9DO09u1w
BH80CEBOTKLJM2BUKX42VF,12,Overhold,1,0,15-11-2021,NONE,IZwcoO0H13N6Ro53YL2R
FR980228933378SS3VLX9UACU28,12,Tempsoft,1,0,01-03-2021,NONE,vCj10C2QFf87G0f8UTo9
FR815550418281TQ84CJY8Q0X83,13,Job,1,0,22-02-2022,NONE,78tr5la8lFOQNKCNMAiR
SM83P90892886318JNTNUYDHWF0,14,Tres-Zap,1,0,12-07-2021,NONE,wS8UR6G78h1mdk6Q5KhM
GL5255650205989485,15,Stronghold,1,0,19-05-2021,NONE,3sM1q6bpkDOe8Na5k64H
KW85AYMHPBVBCVXTBEXRORUCADITVV,15,Y-Solowarm,1,0,31-08-2021,NONE,FHb7ORrm8258e3so7itu
LV27TOASEFYALHPH5RNMJ,15,Matsoft,1,0,17-06-2021,19-07-2021,53q4va8n9E0WL6JyT4Gs
AL8021214616W9VCCKPNSEDHIGBK,16,Flowdesk,2,0,27-06-2021,NONE,pU2P6jWtD83tYYhae70Z
IL757842282767511621870,17,Span,4,0,07-03-2021,15-09-2021,6A1ZXaT936Rv4Dit1W4r
CR5710841972545014452,17,Treeflex,1,0,29-12-2021,NONE,PQ1KUxEeKOa93O3uDaXV
KZ10710KAXRKBV4ETOSD,17,Zoolab,1,0,17-02-2022,NONE,LSdtTTrwQn8Pceg2f60l
FR023968166162QFMI9LTRFYP13,18,Trippledex,1,0,10-01-2021,06-05-2022,3Xl3Y93ev14x8PrNo7Ju
ME70575675621862483580,19,Sonsing,1,0,16-05-2021,13-07-2022,83D9M9xm5JNfM6Jao725
