CardID,Account,Limit,PIN
3553394739569566,AD9413090105NCMC3VM1EDKD,100000,4801
5108759701882616,AD9413090105NCMC3VM1EDKD,100000,3395
5610448283291799,AD9413090105NCMC3VM1EDKD,100000,7989
6767194131657216,CY9215826814N5WF0EAUVLRJNYEP,100000,7879
490512906359513746,IS467634787117169699889043,100000,5203
67629884540120505,CY12037553938HANCACNARCJXUQ2,100000,8448
5602214913961221,PT07106690676316508649610,100000,6919
3585389241553134,FR45266161274652TMVIVPQ5L01,100000,0603
3553021434179678,FR45266161274652TMVIVPQ5L01,100000,4605
3539594910319199,LT696654847411372478,100000,1577
060487097042830945,SI97275105530910376,100000,0152
4913496706825070,ES3876567973341776820457,100000,0855
503842127260007436,PT29499781625205195427425,100000,3504
3549364286215787,SM79Q3694121719TOU8ASQA0WSB,100000,9663
3551717138112475,SM79Q3694121719TOU8ASQA0WSB,100000,2723
3560851130210885,AE953455736311284747558,100000,6213
3532729689299365,FR1502944963172WZYK2TOUP756,100000,9346
5144878953176703,FR219161520100MAECISS28QI76,100000,2092
374283710655978,FR219161520100MAECISS28QI76,100000,8808
6304186574414609735,FI2219198455116224,100000,6155
3543227276454094,FI2219198455116224,100000,4291
4936136691960130197,BH80CEBOTKLJM2BUKX42VF,100000,8056
3556692059098273,FR980228933378SS3VLX9UACU28,100000,1172
3534778381727627,FR815550418281TQ84CJY8Q0X83,100000,4732
3574671817835992,SM83P90892886318JNTNUYDHWF0,100000,1827
36991258804572,GL5255650205989485,100000,5430
3567884420394112,KW85AYMHPBVBCVXTBEXRORUCADITVV,100000,0597
3550002078422221,LV27TOASEFYALHPH5RNMJ,100000,4318
201460557761601,LV27TOASEFYALHPH5RNMJ,100000,1741
6759278077429969,AL8021214616W9VCCKPNSEDHIGBK,100000,4562
201694443691883,IL757842282767511621870,100000,4955
0604208558230577674,IL757842282767511621870,100000,2829
3545214934208144,IL757842282767511621870,100000,7445
3574144298800935,IL757842282767511621870,100000,4345
4913940061704347,CR5710841972545014452,100000,4346
3581054556496048,KZ10710KAXRKBV4ETOSD,100000,8410
3557574175422240,KZ10710KAXRKBV4ETOSD,100000,8478
3581209164061929,KZ10710KAXRKBV4ETOSD,100000,6747
3550949620549275,KZ10710KAXRKBV4ETOSD,100000,8494
3539415381991003,FR023968166162QFMI9LTRFYP13,100000,4234
4844992399530799,ME70575675621862483580,100000,8902
3529472894383931,HU78408361769375686963905817,100000,3737
5038740113738278,FR866323816569TBEYXL0UTTS96,100000,4151
5002352740179686,BG38CTRP707888CHJO8ZXK,100000,3206
3549323678371269,BG38CTRP707888CHJO8ZXK,100000,9203
5602239865489699,SI14540525320707650,100000,1830
6331107991319781,PK06PYDX9IKDYX2W6BCBMLX1,100000,2272
6759479480860507,PK06PYDX9IKDYX2W6BCBMLX1,100000,0118
3577792074504605,MC252479540832T14TYUTCAJX17,100000,8340
3560778843290989,IS928892874631938551679674,100000,7497
5602252148308313402,PL43281800397501597971052578,100000,5188
3564290435393557,AE208442104089089423018,100000,2048
342813972450376,AE208442104089089423018,100000,3490
5038050721609766,FR794576365824OBDHH9XQU3Z48,100000,4923
3552214792903331,MD02BZL3BAJBVBOSVTVUCZLH,100000,2299
3552307858932689,DE42771744757544870860,100000,4253
6759791248221529806,MK76101XO6RF8MT6N44,100000,3735
4175002257416617,FR8885856433902PFBER7MY9W00,100000,7502
3567677630072431,FR8885856433902PFBER7MY9W00,100000,2411
30020475989275,PL48063123299606189735634665,100000,6085
6333260678108171,LI94577706TCILDNRABOC,100000,5313
0604621349629116,LI94577706TCILDNRABOC,100000,2480
493651543509687982,ES7295078258162113141744,100000,9284
3568556781170070,MD730CGGIQL7X7HD8J48NWXZ,100000,6599
4026846817407651,BG13JEIC509423NAXUKOLW,100000,5336
4844799801048777,NO8650701288944,100000,5536
342533470423630,ME06010270545643065544,100000,4185
3564155171648292,ME06010270545643065544,100000,0682
63046335544247343,ME06010270545643065544,100000,7669
30023680009277,MK885706QX8UYFKTF20,100000,8617
5108757155064335,NO2855437598422,100000,0419
3577211324914126,NO2855437598422,100000,6150
3555756025293440,NO2855437598422,100000,4077
503820145758726032,LI2033561S5WMFJ5ZBQZX,100000,8578
3571614843598856,FR6770020963208J1UCIEIWYZ93,100000,7270
3556439484402054,FR664530848066PZS7RTSBPDX82,100000,2196
5137661735748273,RO38TDIXDHGRSSBIIEBSAHNZ,100000,0574
5602228333040291816,FR666537258783X8OMC04VFTC42,100000,8496
676120792052315177,FR666537258783X8OMC04VFTC42,100000,6552
5048371680941778,FR666537258783X8OMC04VFTC42,100000,3152
3563572642250030,FR666537258783X8OMC04VFTC42,100000,0313
3576610069377319,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,100000,9860
3571643759388101,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,100000,9282
6304809399264781,KW60GHNXNSHUOVNJSBVP2SQ00JCM0P,100000,5352
201683530275072,HR2750206937399363641,100000,1622
201925489518964,HR2750206937399363641,100000,3936
201884412108924,LI6447144YSY4Z7BZZZRK,100000,8855
4175009407469511,LI6447144YSY4Z7BZZZRK,100000,2552
374283451677330,FR9782327987451AYUC37U0EF51,100000,0394
6767540646214366,FR9782327987451AYUC37U0EF51,100000,4043
3580893207036021,LU51482S5LB0GJSVOYPP,100000,8389
6762997204935219529,SI74825760997584571,100000,7461
5167992862040033,MC574513984017FXNQQKOYBLQ33,100000,2930
560223473112182178,BA038977631439091374,100000,6496
633375903429124944,PL11799872834331665811266572,100000,7858
3529533658167297,CH584827884PGVRUBCRFO,100000,1048
201538989464173,SI16655849116473450,100000,5121
3565287306526876,FR415369337789HNEDLEYCLTX34,100000,6924
3531461412798239,FR262813619748PNCVTCELAXG12,100000,9794
3555815356453765,PT32784241761371374262171,100000,6085
6383086381009391,PT32784241761371374262171,100000,6381
201792371533919,ME97661623675960265882,100000,7897
3581540990708865,FR555370117262M8MHCS4TW0778,100000,9157
6331109900208395990,TN5478612701002964205356,100000,6092
3547490595785665,KW82KSFYM4YY93ESZGLAMCNATMMBIG,100000,7166
3559732301846942,PL89877171017396818184443026,100000,4492
3564063436844377,PL89877171017396818184443026,100000,1308
5100146712035293,PL89877171017396818184443026,100000,9269
30549324439546,GR560395974CG6TT9ZR8OFADHFE,100000,8956
5610217921553807,GR560395974CG6TT9ZR8OFADHFE,100000,3530
3573380930667206,FR695430719047MSWFWEIHCAO18,100000,2362
4017953136275818,GL4455269002179975,100000,5678
3541279983379652,SM04O2872816220NX2CRTU1F91Z,100000,4262
3588458889501098,FR2505908882660FTQILUB4R861,100000,4488
201700067098907,CY8714298070SW8FV1GLHBWSTKYO,100000,6367
201935579571104,CY8714298070SW8FV1GLHBWSTKYO,100000,5715
3589510138564696,FR433271943275Q7IKGEEUQOE62,100000,0629
5602244706896720337,KZ57817DZXUEGJAWDPRF,100000,5146
3532938273718587,NL78SXNX5876067470,100000,7675
3540590875582463,PT76725017952203419820774,100000,0959
6384674598254485,SA4941E7VC2BUJG8DVLMIUB9,100000,8666
6331106877678674,MK88922HU8SSC0WM810,100000,7644
5610255888291888,MK88922HU8SSC0WM810,100000,1287
5007668428035360,CH1618474PWEBI8QAGREI,100000,6061
5108750075338087,HU87667080640745192379770387,100000,5519
6767902773326522,SE0410756440958840317925,100000,3376
201489072724521,RO18EUJTUIXL9GMIVTAD47EI,100000,5972
670671603610193954,RO18EUJTUIXL9GMIVTAD47EI,100000,2108
3583578364934657,RO18EUJTUIXL9GMIVTAD47EI,100000,8240
343909198397190,FR1549583566069TR1N2XWOYX34,100000,9039
30058474947456,FR1549583566069TR1N2XWOYX34,100000,8253
6767820027863876966,FR3481428835649QEVERDZJYP38,100000,1286
5641825278050780,FR3481428835649QEVERDZJYP38,100000,0509
201876402720486,DK6058517087729622,100000,6998
6376426678029950,LI9457531A6YJLWIJKNSQ,100000,8090
5602227143912723,NL76JNXX1868440926,100000,0935
3573157562013853,NL76JNXX1868440926,100000,0438
30478020009637,GI83NEWZEVPW4UU7XMWZ0HZ,100000,3705
3585287530211333,MD45BCMPTO0A8JEWCMIMULCR,100000,5949
4903538064476957152,IE51AAOQ21828404077999,100000,1986
5641829108019536,BE14175804407331,100000,5510
6771162572428662052,AL5959600739QLBVKSV5UR8L5MCU,100000,7978
3530438561645065,TR0759790QLUOZUYZBIF6LUMC0,100000,2465
30138132384134,TR0759790QLUOZUYZBIF6LUMC0,100000,3447
3563089009427127,IE42UTTQ67174907923500,100000,6144
3560589707443451,LB112232GXFEIRUSUKN8WRUCRGQM,100000,9380
675986042527240443,LB64197862DLT0DLQ7H8HKJHW7CI,100000,9109
337941412381054,PS08YUQBD0QXSCE7LOYO3WEIIFHOA,100000,1412
5602221562485451,BG96DUOA015893RAOVD5AK,100000,4542
201442223382392,EE386688945979336861,100000,9542
3570797197535920,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,100000,7613
3543194078824561,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,100000,0402
5100135023838404,GT83QMU2BFPVMOYQBSZ9SLMMIWW3,100000,5380
3552367783051690,FR5041164036327DMV1CRBHOK58,100000,1948
4041370464128149,FR836087418377IWU8PVEGDVU13,100000,7034
5018413101912508490,FR836087418377IWU8PVEGDVU13,100000,3318
3536046119918928,FR836087418377IWU8PVEGDVU13,100000,6287
3555556511347084,BH54PCIVYK9ZY4NPXRS8O3,100000,0159
5602244196558536090,GR665961948ADBSX9QJRLACNGCS,100000,0085
337941822931886,BA930876333848218316,100000,4143
6370290067933537,BA930876333848218316,100000,0865
30242870366251,AL0870006466BDDYHJJGOUMQB7A6,100000,7374
3558984929137706,LU70851H7LSUB3GSRLFG,100000,2866
