ClientID,MainAccount,AllowPhoneTransfer
1,MK2390315VYRI0CKX34,1
2,GR468571309BMGLC5BMOONSZWQT,1
3,GL1237034700705938,0
4,MU38SPRZ6561085529865602003KQY,1
5,FR284260540666RW7AVZQBNGS84,1
6,SE6001853902593842235582,1
7,FR829725437093PER5U8ELT9S23,1
8,AZ60PCRKP0GSKGI0KWHU4PYJLQKE,1
9,DK2114195689978254,1
10,ES5562466573576307588715,1
11,FR929555749810MN66NBKN3JQ38,1
12,BG10EWTB1413962P6E6CZJ,0
13,FR352904222588KWWC6YIMPOY96,1
14,MR3684476395740706147116764,1
15,BR9888924377242622402690963SJ,1
16,FR755651711877HQ8KUPTJE2E11,1
17,CH23605476SVAK5A2UWJ0,1
18,TR5651962XMGYFOMEZ6ULXTJU3,0
19,SI52265015434493739,0
20,SE2575710596688421800564,1
21,PL52013807090046304152028080,1
22,ES4751731062740303710321,1
23,CY8519954657MDMDCEOAWI3QDUGG,1
24,LB020531YBRENLULG71HLYYHAJFW,1
25,MR9542584479364588316982606,1
26,MD62NVLXRWUOQ1BVDGBQ1HOW,1
27,FR5041164036327DMV1CRBHOK58,1
28,AL8021214616W9VCCKPNSEDHIGBK,1
29,AZ58SWPGIZTZ56OZWPGHRQZEXPKE,1
30,SI27477425351749407,1
31,MK885706QX8UYFKTF20,1
32,CZ3497925892890818012395,1
33,FR448372210059PFWH4OZTGKH63,1
34,FR251273499998BWUY5ZGCX2A39,1
35,SA3552JBI0V9WVNCU3L5DAPN,1
36,KZ5999506HVXYZY3JUJI,0
37,DO95GGAZ78324630155292344918,1
38,GR861288206OLQH2DAHVAN1RZMH,1
39,FR932153714954KINUVN6B0SD15,1
40,SA7343SACB10LF0Q7TUJ4K9T,1
41,RO13UPSSRHMVA84JH0TPPTVX,1
42,PT54876113908975191283835,1
43,PT96360701922156082244556,1
44,FR836087418377IWU8PVEGDVU13,1
45,IS238078506206531184027473,1
46,SA9059AGRE8AJZ70FVDZADS2,1
47,FR2499685846072EIOJLJ2ECK12,1
