StandingOrderID,Sender,Receiver,Amount,Title,Frequency,StartDate,EndDate
1,CY9215826814N5WF0EAUVLRJNYEP,FR156859604172LTRQ0ETNXXL69,369,Delivery services,2,12-04-2022,11-06-2022
2,CY9215826814N5WF0EAUVLRJNYEP,PK52YQMIKKNXKJTPECSBKECZ,201,Legal services,2,14-02-2022,05-05-2022
3,CY9215826814N5WF0EAUVLRJNYEP,ME17166678628475535698,230,Insurance services,4,03-09-2022,07-01-2023
4,CY9215826814N5WF0EAUVLRJNYEP,PT32784241761371374262171,490,Security services,8,26-09-2021,05-06-2022
5,IS467634787117169699889043,CR6208159620834962189,293,Consulting services,3,16-07-2021,06-11-2021
6,IS467634787117169699889043,DO692LOA24615275459286419733,458,Construction services,2,25-07-2021,16-10-2021
7,IS467634787117169699889043,MR2368945812321419374551561,186,Legal services,2,02-08-2021,23-10-2021
8,IS467634787117169699889043,PT76725017952203419820774,256,Legal services,2,06-12-2021,06-02-2022
9,CY12037553938HANCACNARCJXUQ2,CZ4978198580333176676814,485,Legal services,1,13-08-2021,11-10-2021
10,CY12037553938HANCACNARCJXUQ2,FR919332503670XLIEN3EAJAP79,24,Construction services,1,26-04-2022,29-05-2022
11,CY12037553938HANCACNARCJXUQ2,BH97ABMEE8WLEVCLROPPPE,236,Delivery services,6,01-04-2022,15-10-2022
12,CY12037553938HANCACNARCJXUQ2,GB40XYTB95618940277915,451,Event planning services,11,20-01-2022,22-12-2022
13,PT07106690676316508649610,DE14729572230611752366,212,Event planning services,2,20-01-2022,24-03-2022
14,PT07106690676316508649610,SI16655849116473450,266,Software services,4,14-05-2022,26-09-2022
15,FR45266161274652TMVIVPQ5L01,AZ64HEGTJCSUZBLP4MODQD5TXA2Y,283,Marketing services,3,10-10-2021,31-01-2022
16,FR45266161274652TMVIVPQ5L01,GL4455269002179975,19,Security services,2,30-12-2021,06-03-2022
17,FR45266161274652TMVIVPQ5L01,BG96DUOA015893RAOVD5AK,473,Event planning services,3,21-11-2021,16-03-2022
18,LT696654847411372478,CR4377281577857817397,66,Delivery services,3,16-07-2022,18-10-2022
19,LT696654847411372478,FR8950951953808OSTKJGGULZ02,197,Delivery services,2,19-02-2022,26-04-2022
20,LT696654847411372478,ME06010270545643065544,29,Finance services,8,31-12-2021,26-09-2022
21,SI97275105530910376,DE40064213356819991051,181,Insurance services,9,17-12-2021,25-09-2022
22,SI97275105530910376,SE2575710596688421800564,354,Event planning services,6,24-03-2022,19-10-2022
