TransferID,Sender,Receiver,Amount,Title,Date,Category,StandingOrder
1,AD9413090105NCMC3VM1EDKD,FR6770020963208J1UCIEIWYZ93,1172,Manchester,24-07-2022,16,NULL
2,AD9413090105NCMC3VM1EDKD,PS04VYBCQPFJWHXPFFNWDRHMH7Z9E,1712,Zebra,28-03-2022,16,NULL
3,AD9413090105NCMC3VM1EDKD,FR241647887802ACKVGEEEQZM87,1028,Rose,12-07-2022,18,NULL
4,CY9215826814N5WF0EAUVLRJNYEP,MK41477DOYFWAI1W659,1277,Portugal,28-09-2022,14,NULL
5,CY9215826814N5WF0EAUVLRJNYEP,AT081187867286884882,704,Toothbrush,15-03-2022,5,NULL
6,CY9215826814N5WF0EAUVLRJNYEP,RO18EUJTUIXL9GMIVTAD47EI,594,Rain,23-09-2022,13,NULL
7,CY12037553938HANCACNARCJXUQ2,MD730CGGIQL7X7HD8J48NWXZ,1860,Oyster,23-02-2022,12,NULL
8,CY12037553938HANCACNARCJXUQ2,AT081187867286884882,268,Car,04-05-2022,14,NULL
9,CY12037553938HANCACNARCJXUQ2,PS02JZSFMNUORGS30HF7NQVLWYEHP,1293,Kitchen,24-01-2022,6,NULL
10,PT07106690676316508649610,AD0357942949XKSMVLBOOIBA,1418,Nest,09-03-2022,16,NULL
11,PT07106690676316508649610,FR554239335295BIZEUWV3CFF55,615,Jordan,07-01-2023,12,NULL
12,FR45266161274652TMVIVPQ5L01,GB40XYTB95618940277915,3700,Oyster,25-12-2021,15,NULL
13,FR45266161274652TMVIVPQ5L01,DO39GE7C12482803957849368595,676,School,23-01-2022,8,NULL
14,LT696654847411372478,FR262813619748PNCVTCELAXG12,1187,Soccer,08-10-2021,2,NULL
15,SI97275105530910376,KW22OLNPISJDMT4SNHFR0DSPN5ANKQ,859,Lunch,10-12-2022,16,NULL
16,SI97275105530910376,DE14729572230611752366,970,Carpet,31-05-2022,6,NULL
17,SI97275105530910376,FR553701618541DD6XFVKOG0J19,1844,Kitchen,02-12-2021,3,NULL
18,PT29499781625205195427425,FR236631003080GIYTWDCWVFH78,384,Juice,12-01-2022,7,NULL
19,PT29499781625205195427425,LU51482S5LB0GJSVOYPP,289,Parrot,07-02-2022,17,NULL
